idPayment,Amount,PaymentDate
59,4.99,"2005-08-23 17:39:35"
60,1.99,"2005-05-27 17:17:09"
61,2.99,"2005-05-29 22:43:55"
62,8.99,"2005-06-16 01:34:05"
63,6.99,"2005-06-16 15:19:10"
64,6.99,"2005-06-17 05:15:15"
65,2.99,"2005-06-19 08:34:53"
66,4.99,"2005-07-07 10:23:25"
67,4.99,"2005-07-08 12:47:11"
68,5.99,"2005-07-27 04:54:42"
69,10.99,"2005-07-27 20:23:12"
70,7.99,"2005-07-28 03:59:21"
71,6.99,"2005-07-28 04:46:30"
72,4.99,"2005-07-28 11:46:45"
73,4.99,"2005-07-28 18:17:14"
74,2.99,"2005-07-29 11:07:04"
75,1.99,"2005-07-30 13:31:20"
76,3.99,"2005-07-30 21:45:46"
77,2.99,"2005-07-31 03:27:58"
78,4.99,"2005-07-31 11:32:58"
79,5.99,"2005-08-01 14:19:48"
80,4.99,"2005-08-18 14:49:55"
81,8.99,"2005-08-19 22:18:07"
82,2.99,"2005-08-20 06:14:12"
83,8.99,"2005-08-21 20:50:48"
84,0.99,"2005-08-22 09:37:27"
85,2.99,"2005-08-23 07:10:14"
86,4.99,"2005-06-15 09:31:28"
87,0.99,"2005-06-16 08:08:40"
88,2.99,"2005-06-16 14:01:27"
89,0.99,"2005-06-16 15:51:52"
90,0.99,"2005-06-17 14:31:12"
91,5.99,"2005-06-19 09:39:01"
92,2.99,"2005-07-28 02:10:10"
93,2.99,"2005-07-28 04:37:59"
94,3.99,"2005-07-29 18:44:57"
95,5.99,"2005-07-30 08:46:09"
96,5.99,"2005-07-30 18:58:00"
97,0.99,"2005-08-02 07:09:34"
98,2.99,"2005-08-02 08:20:31"
99,4.99,"2005-08-17 00:28:01"
100,2.99,"2005-08-18 00:14:03"
101,8.99,"2005-08-18 05:14:44"
102,1.99,"2005-08-19 02:19:13"
103,2.99,"2005-08-20 09:32:04"
104,6.99,"2005-08-20 12:55:40"
105,4.99,"2005-08-21 04:53:37"
106,2.99,"2005-08-22 13:58:23"
107,1.99,"2005-08-23 07:43:00"
108,0.99,"2005-05-29 07:25:16"
109,6.99,"2005-05-31 11:15:43"
110,1.99,"2005-05-31 19:46:38"
111,3.99,"2005-06-15 22:03:14"
112,2.99,"2005-06-16 08:01:02"
113,4.99,"2005-06-17 15:56:53"
114,2.99,"2005-06-19 04:20:13"
115,4.99,"2005-06-20 18:38:22"
116,4.99,"2005-07-06 09:11:58"
117,2.99,"2005-07-08 20:04:43"
118,4.99,"2005-07-09 01:57:57"
119,5.99,"2005-07-09 07:13:52"
120,1.99,"2005-07-09 08:51:42"
121,0.99,"2005-07-10 11:09:35"
122,8.99,"2005-07-11 03:17:04"
123,3.99,"2005-07-12 11:27:35"
124,4.99,"2005-07-12 12:16:28"
125,0.99,"2005-07-27 12:37:28"
126,0.99,"2005-07-28 01:50:29"
127,3.99,"2005-07-28 08:43:39"
128,2.99,"2005-07-29 01:11:23"
129,1.99,"2005-07-30 04:14:28"
130,4.99,"2005-07-30 23:52:30"
131,3.99,"2005-07-31 14:00:53"
132,4.99,"2005-08-01 14:48:45"
133,0.99,"2005-08-01 15:27:10"
134,4.99,"2005-08-02 04:56:45"
135,4.99,"2005-08-02 10:50:06"
136,3.99,"2005-08-17 16:28:53"
137,9.99,"2005-08-18 00:10:04"
138,2.99,"2005-08-19 00:24:08"
139,1.99,"2005-08-19 09:45:41"
140,0.99,"2005-08-20 15:16:18"
141,6.99,"2005-08-20 22:13:59"
142,6.99,"2005-08-21 11:31:11"
143,2.99,"2005-08-21 14:02:50"
144,0.99,"2005-08-22 17:37:02"
145,0.99,"2006-02-14 15:16:03"
146,4.99,"2005-05-25 08:43:32"
147,2.99,"2005-05-28 11:09:14"
148,0.99,"2005-05-30 11:25:01"
149,3.99,"2005-06-16 03:41:38"
150,2.99,"2005-06-16 23:44:13"
151,0.99,"2005-06-17 09:19:45"
152,0.99,"2005-06-18 12:03:23"
153,0.99,"2005-07-06 23:14:21"
154,2.99,"2005-07-07 14:53:24"
155,0.99,"2005-07-10 03:03:35"
156,5.99,"2005-07-11 12:39:01"
157,7.99,"2005-07-11 15:01:54"
158,0.99,"2005-07-12 12:18:38"
159,2.99,"2005-07-27 05:03:44"
160,2.99,"2005-07-27 06:38:25"
161,0.99,"2005-07-28 18:47:23"
162,2.99,"2005-08-01 03:13:39"
163,2.99,"2005-08-02 05:36:38"
164,3.99,"2005-08-02 18:55:15"
165,6.99,"2005-08-17 02:29:41"
166,0.99,"2005-08-17 08:12:20"
167,0.99,"2005-08-17 13:39:32"
168,2.99,"2005-08-18 04:05:29"
169,6.99,"2005-08-20 00:18:25"
170,7.99,"2005-08-21 08:22:56"
171,4.99,"2005-08-21 09:49:28"
172,5.99,"2005-08-23 02:51:24"
173,0.99,"2005-08-23 06:41:32"
174,5.99,"2005-05-25 06:04:08"
175,0.99,"2005-05-25 19:30:46"
176,2.99,"2005-05-29 09:27:00"
177,4.99,"2005-05-30 21:07:15"
178,5.99,"2005-05-31 08:44:29"
179,0.99,"2005-06-16 21:06:00"
180,2.99,"2005-06-18 05:03:36"
181,0.99,"2005-06-19 14:00:26"
182,4.99,"2005-06-20 01:50:56"
183,0.99,"2005-06-20 10:11:53"
184,5.99,"2005-07-06 07:09:17"
185,2.99,"2005-07-07 13:22:20"
186,5.99,"2005-07-08 16:16:04"
187,4.99,"2005-07-08 18:47:38"
188,8.99,"2005-07-09 21:52:05"
189,7.99,"2005-07-10 21:35:12"
190,1.99,"2005-07-11 10:36:28"
191,2.99,"2005-07-11 17:30:58"
192,3.99,"2005-07-12 15:17:42"
193,5.99,"2005-07-29 07:02:55"
194,7.99,"2005-07-31 04:30:03"
195,6.99,"2005-08-01 04:57:04"
196,5.99,"2005-08-01 08:19:53"
197,4.99,"2005-08-01 11:39:26"
198,4.99,"2005-08-01 15:52:00"
199,3.99,"2005-08-02 04:40:54"
200,7.99,"2005-08-17 00:51:32"
201,8.99,"2005-08-18 07:57:14"
202,2.99,"2005-08-18 21:55:01"
203,2.99,"2005-08-19 21:23:31"
204,2.99,"2005-08-20 01:06:04"
205,0.99,"2005-08-20 05:53:31"
206,5.99,"2005-08-21 04:49:48"
207,6.99,"2005-05-30 03:43:54"
208,2.99,"2005-06-15 09:59:16"
209,5.99,"2005-06-17 18:21:35"
210,4.99,"2005-06-20 17:57:47"
211,5.99,"2005-07-05 23:01:21"
212,0.99,"2005-07-07 00:09:02"
213,2.99,"2005-07-07 10:02:03"
214,3.99,"2005-07-07 21:47:29"
215,3.99,"2005-07-08 02:17:12"
216,2.99,"2005-07-09 15:40:46"
217,2.99,"2005-07-09 17:13:23"
218,4.99,"2005-07-11 21:39:46"
219,0.99,"2005-07-12 10:43:53"
220,1.99,"2005-07-29 21:42:49"
221,2.99,"2005-07-31 04:54:43"
222,0.99,"2005-07-31 22:08:29"
223,2.99,"2005-08-01 13:05:35"
224,9.99,"2005-08-02 13:04:12"
225,2.99,"2005-08-02 14:42:45"
226,2.99,"2005-08-18 17:16:01"
227,0.99,"2005-08-21 01:07:11"
228,7.99,"2005-08-22 22:09:09"
229,2.99,"2005-08-23 13:05:10"
230,4.99,"2005-08-23 14:31:19"
231,4.99,"2005-05-27 05:01:28"
232,0.99,"2005-05-30 05:48:59"
233,4.99,"2005-05-31 10:13:34"
234,7.99,"2005-06-20 19:59:28"
235,4.99,"2005-06-21 04:08:43"
236,2.99,"2005-07-07 23:37:00"
237,0.99,"2005-07-08 13:59:38"
238,1.99,"2005-07-08 16:35:44"
239,2.99,"2005-07-10 07:45:40"
240,4.99,"2005-07-11 02:08:29"
241,5.99,"2005-07-11 10:17:29"
242,0.99,"2005-07-28 00:15:26"
243,2.99,"2005-07-28 07:51:56"
244,4.99,"2005-07-30 06:34:07"
245,0.99,"2005-08-01 09:11:25"
246,4.99,"2005-08-01 09:14:00"
247,5.99,"2005-08-02 19:00:52"
248,0.99,"2005-08-17 01:11:53"
249,2.99,"2005-08-18 03:08:10"
250,2.99,"2005-08-18 05:58:40"
251,4.99,"2005-08-18 18:48:58"
252,7.99,"2005-08-21 13:53:59"
253,4.99,"2006-02-14 15:16:03"
254,4.99,"2005-05-31 19:36:30"
255,4.99,"2005-06-16 20:21:53"
256,4.99,"2005-06-17 11:11:14"
257,3.99,"2005-06-18 03:26:23"
258,0.99,"2005-06-19 20:01:59"
259,0.99,"2005-06-20 00:00:55"
260,3.99,"2005-07-06 14:13:45"
261,4.99,"2005-07-07 03:06:40"
262,1.99,"2005-07-07 14:14:13"
263,7.99,"2005-07-09 03:12:52"
264,2.99,"2005-07-09 04:53:18"
265,0.99,"2005-07-09 21:58:57"
266,2.99,"2005-07-10 20:41:09"
267,2.99,"2005-07-28 05:21:42"
268,6.99,"2005-07-28 15:10:55"
269,4.99,"2005-07-28 22:34:12"
270,4.99,"2005-07-31 15:27:07"
271,8.99,"2005-08-01 17:09:59"
272,2.99,"2005-08-02 14:55:00"
273,0.99,"2005-08-02 19:13:39"
274,2.99,"2005-08-17 20:11:35"
275,2.99,"2005-08-18 09:19:12"
276,4.99,"2005-08-19 19:23:30"
277,2.99,"2005-08-20 16:43:28"
278,5.99,"2005-08-22 21:59:29"
279,6.99,"2005-05-30 22:59:12"
280,6.99,"2005-06-15 20:53:07"
281,7.99,"2005-06-17 07:26:45"
282,0.99,"2005-06-20 23:49:12"
283,2.99,"2005-07-08 07:19:11"
284,4.99,"2005-07-08 22:43:05"
285,5.99,"2005-07-10 16:44:58"
286,6.99,"2005-07-11 09:09:59"
287,4.99,"2005-07-27 13:13:32"
288,4.99,"2005-07-28 15:32:07"
289,2.99,"2005-07-28 18:43:11"
290,1.99,"2005-07-29 07:38:14"
291,0.99,"2005-07-29 17:33:45"
292,9.99,"2005-07-30 03:17:13"
293,6.99,"2005-07-30 16:08:21"
294,4.99,"2005-08-01 22:41:16"
295,6.99,"2005-08-02 10:14:58"
296,0.99,"2005-08-16 23:06:30"
297,5.99,"2005-08-17 19:32:44"
298,0.99,"2005-08-20 05:07:27"
299,4.99,"2005-08-20 12:17:27"
300,0.99,"2005-08-22 12:42:47"
301,2.99,"2005-08-22 17:46:41"
302,0.99,"2006-02-14 15:16:03"
303,4.99,"2005-05-30 23:08:03"
304,4.99,"2005-05-31 11:10:17"
305,5.99,"2005-06-16 17:02:55"
306,5.99,"2005-06-18 18:11:51"
307,5.99,"2005-06-18 23:07:12"
308,4.99,"2005-06-19 08:11:51"
309,2.99,"2005-06-20 19:33:52"
310,0.99,"2005-06-21 16:31:27"
311,3.99,"2005-07-06 17:57:54"
312,0.99,"2005-07-09 05:00:39"
313,0.99,"2005-07-09 05:06:24"
314,0.99,"2005-07-09 07:02:19"
315,3.99,"2005-07-09 13:20:25"
316,2.99,"2005-07-12 15:55:39"
317,0.99,"2005-07-27 01:44:03"
318,0.99,"2005-07-27 11:50:47"
319,0.99,"2005-07-30 04:34:51"
320,4.99,"2005-07-30 11:26:28"
321,5.99,"2005-07-30 13:49:43"
322,5.99,"2005-07-31 04:42:46"
323,5.99,"2005-07-31 07:45:33"
324,10.99,"2005-08-01 06:50:26"
325,0.99,"2005-08-16 22:52:30"
326,4.99,"2005-08-18 16:58:48"
327,0.99,"2005-08-20 02:37:07"
328,2.99,"2005-08-20 15:58:28"
329,4.99,"2005-08-21 05:19:39"
330,0.99,"2005-08-23 20:28:44"
331,2.99,"2005-06-17 06:54:42"
332,4.99,"2005-06-18 02:24:01"
333,2.99,"2005-06-20 06:26:57"
334,8.99,"2005-06-20 12:45:33"
335,2.99,"2005-07-06 21:39:24"
336,8.99,"2005-07-11 07:43:08"
337,2.99,"2005-07-12 05:45:47"
338,0.99,"2005-07-12 20:13:45"
339,2.99,"2005-07-12 21:30:41"
340,2.99,"2005-07-28 11:49:53"
341,2.99,"2005-07-29 01:38:53"
342,11.99,"2005-07-29 22:37:41"
343,9.99,"2005-07-30 14:38:22"
344,0.99,"2005-07-30 21:29:41"
345,0.99,"2005-07-31 06:12:08"
346,7.99,"2005-07-31 08:58:40"
347,4.99,"2005-07-31 17:48:51"
348,4.99,"2005-08-02 14:58:41"
349,0.99,"2005-08-02 16:05:17"
350,5.99,"2005-08-17 09:44:59"
351,7.99,"2005-08-19 04:31:36"
352,4.99,"2005-08-19 10:49:03"
353,0.99,"2005-08-19 15:25:48"
354,0.99,"2005-08-20 00:33:19"
355,9.99,"2005-08-21 05:44:07"
356,7.99,"2005-08-21 15:44:23"
357,4.99,"2005-08-22 20:51:24"
358,0.99,"2005-05-26 00:37:28"
359,9.99,"2005-05-27 04:34:41"
360,5.99,"2005-05-28 04:25:33"
361,2.99,"2005-05-28 22:04:30"
362,0.99,"2005-05-29 20:24:28"
363,4.99,"2005-06-15 13:32:15"
364,2.99,"2005-07-06 10:21:49"
365,0.99,"2005-07-08 23:00:07"
366,0.99,"2005-07-09 06:37:07"
367,7.99,"2005-07-09 16:10:25"
368,4.99,"2005-07-09 19:14:32"
369,7.99,"2005-07-10 03:29:48"
370,6.99,"2005-07-28 16:23:01"
371,0.99,"2005-07-28 16:45:11"
372,3.99,"2005-07-29 11:11:33"
373,4.99,"2005-07-29 22:46:08"
374,4.99,"2005-07-30 21:36:15"
375,2.99,"2005-07-31 03:21:16"
376,2.99,"2005-08-01 05:23:00"
377,6.99,"2005-08-01 11:55:33"
378,4.99,"2005-08-02 22:18:24"
379,3.99,"2005-08-17 00:27:23"
380,2.99,"2005-08-18 19:16:47"
381,4.99,"2005-08-20 11:20:12"
382,6.99,"2005-08-22 08:43:50"
383,0.99,"2005-08-22 22:08:11"
384,0.99,"2005-08-23 22:25:26"
385,4.99,"2006-02-14 15:16:03"
386,2.99,"2005-06-18 21:26:56"
387,5.99,"2005-06-20 05:15:37"
388,0.99,"2005-06-20 22:52:18"
389,7.99,"2005-07-06 02:29:21"
390,5.99,"2005-07-07 07:26:19"
391,2.99,"2005-07-10 11:02:03"
392,2.99,"2005-07-11 00:14:19"
393,4.99,"2005-07-27 05:15:37"
394,0.99,"2005-07-28 22:50:50"
395,6.99,"2005-07-29 13:36:01"
396,4.99,"2005-07-30 02:13:31"
397,2.99,"2005-07-31 17:22:35"
398,2.99,"2005-08-02 08:44:18"
399,2.99,"2005-08-02 09:29:11"
400,2.99,"2005-08-02 15:48:08"
401,2.99,"2005-08-02 17:09:24"
402,7.99,"2005-08-17 16:20:37"
403,2.99,"2005-08-18 04:39:10"
404,2.99,"2005-08-18 14:46:26"
405,2.99,"2005-08-18 18:00:23"
406,8.99,"2005-08-19 20:18:36"
407,5.99,"2005-08-19 22:03:46"
408,5.99,"2005-08-20 02:00:33"
409,4.99,"2005-08-20 03:41:41"
410,3.99,"2005-08-20 08:34:41"
411,0.99,"2005-08-21 16:31:22"
412,4.99,"2005-08-21 23:53:35"
413,8.99,"2005-08-22 03:23:41"
414,0.99,"2005-08-22 15:36:04"
415,4.99,"2005-08-23 17:12:31"
416,3.98,"2006-02-14 15:16:03"
417,0.00,"2006-02-14 15:16:03"
418,3.99,"2005-05-27 03:07:10"
419,2.99,"2005-05-28 13:33:23"
420,0.99,"2005-05-30 07:10:00"
421,2.99,"2005-05-31 02:53:36"
422,6.99,"2005-06-17 07:04:57"
423,7.99,"2005-06-17 07:50:53"
424,1.99,"2005-06-18 04:56:12"
425,7.99,"2005-06-20 07:10:09"
426,0.99,"2005-06-21 11:16:42"
427,0.99,"2005-07-06 02:23:39"
428,2.99,"2005-07-07 12:11:22"
429,3.99,"2005-07-07 14:24:44"
430,4.99,"2005-07-08 02:45:19"
431,4.99,"2005-07-11 06:40:31"
432,0.99,"2005-07-27 19:39:38"
433,2.99,"2005-07-27 22:03:41"
434,5.99,"2005-07-29 07:45:00"
435,0.99,"2005-07-30 11:12:03"
436,5.99,"2005-07-31 03:54:05"
437,2.99,"2005-08-01 17:53:02"
438,2.99,"2005-08-01 19:15:08"
439,0.99,"2005-08-02 15:50:44"
440,2.99,"2005-08-17 22:53:00"
441,4.99,"2005-08-18 07:41:43"
442,7.99,"2005-08-18 15:39:46"
443,4.99,"2005-08-19 13:08:23"
444,4.99,"2005-08-19 22:01:42"
445,6.99,"2005-08-20 01:10:27"
446,8.99,"2005-08-21 14:45:34"
447,2.99,"2005-05-26 19:44:54"
448,2.99,"2005-05-28 11:19:53"
449,4.99,"2005-05-30 06:41:32"
450,5.99,"2005-06-18 00:17:58"
451,8.99,"2005-06-19 12:29:08"
452,5.99,"2005-06-21 05:06:30"
453,3.99,"2005-07-10 10:46:57"
454,3.99,"2005-07-10 19:25:21"
455,1.99,"2005-07-12 20:52:41"
456,8.99,"2005-07-28 17:45:58"
457,2.99,"2005-07-28 23:37:33"
458,8.99,"2005-07-30 08:30:56"
459,2.99,"2005-07-30 10:11:52"
460,8.99,"2005-07-30 19:23:44"
461,0.99,"2005-07-30 23:43:32"
462,4.99,"2005-08-17 18:26:22"
463,2.99,"2005-08-20 10:24:41"
464,2.99,"2005-08-20 21:43:44"
465,2.99,"2005-08-21 08:15:41"
466,2.99,"2005-08-21 08:42:26"
467,5.99,"2005-08-23 12:41:38"
468,2.99,"2005-05-25 06:44:53"
469,4.99,"2005-05-25 19:27:51"
470,4.99,"2005-05-29 01:32:10"
471,5.99,"2005-06-15 19:30:18"
472,4.99,"2005-06-16 19:23:23"
473,5.99,"2005-06-17 19:52:42"
474,8.99,"2005-06-20 09:02:51"
475,3.99,"2005-07-08 10:15:38"
476,3.99,"2005-07-08 12:46:30"
477,3.99,"2005-07-08 21:44:39"
478,2.99,"2005-07-11 08:15:08"
479,0.99,"2005-07-12 19:20:45"
480,2.99,"2005-07-28 19:27:37"
481,4.99,"2005-07-29 11:18:01"
482,4.99,"2005-07-30 06:18:38"
483,4.99,"2005-07-30 09:13:21"
484,4.99,"2005-08-01 17:32:53"
485,1.99,"2005-08-01 19:05:18"
486,4.99,"2005-08-02 08:03:02"
487,4.99,"2005-08-02 20:22:45"
488,0.99,"2005-08-18 06:51:39"
489,0.99,"2005-08-20 01:29:29"
490,0.99,"2005-05-25 01:10:47"
491,9.99,"2005-05-25 18:43:49"
492,6.99,"2005-05-26 04:26:06"
493,2.99,"2005-05-27 03:22:30"
494,2.99,"2005-05-28 13:11:04"
495,2.99,"2005-05-29 01:59:10"
496,2.99,"2005-06-19 10:42:59"
497,2.99,"2005-06-19 22:55:37"
498,2.99,"2005-06-21 17:38:02"
499,4.99,"2005-07-06 02:24:55"
500,4.99,"2005-07-12 02:57:02"
501,5.99,"2005-07-30 11:06:23"
502,0.99,"2005-07-30 14:29:29"
503,9.99,"2005-07-31 20:01:06"
504,7.99,"2005-07-31 23:40:35"
505,8.99,"2005-08-16 23:27:36"
506,5.99,"2005-08-17 14:10:22"
507,9.99,"2005-08-18 02:31:18"
508,2.99,"2005-08-18 07:40:52"
509,8.99,"2005-08-20 09:53:44"
510,8.99,"2005-08-20 12:46:32"
511,4.99,"2005-08-21 00:33:03"
512,2.99,"2005-08-22 09:57:16"
513,0.99,"2005-08-23 03:46:47"
514,2.99,"2005-05-26 07:27:36"
515,6.99,"2005-05-28 00:54:39"
516,1.99,"2005-05-28 07:16:25"
517,0.99,"2005-06-16 02:33:53"
518,3.99,"2005-06-17 21:16:41"
519,4.99,"2005-06-18 11:46:26"
520,4.99,"2005-06-21 11:21:38"
521,3.99,"2005-07-07 00:48:25"
522,2.99,"2005-07-07 21:39:45"
523,2.99,"2005-07-10 11:03:20"
524,2.99,"2005-07-11 15:10:18"
525,6.99,"2005-07-11 15:53:00"
526,4.99,"2005-07-27 09:31:44"
527,5.99,"2005-07-28 10:06:10"
528,2.99,"2005-07-28 19:45:19"
529,4.99,"2005-07-30 07:55:14"
530,3.99,"2005-07-30 22:53:52"
531,4.99,"2005-08-01 03:33:19"
532,7.99,"2005-08-01 14:59:50"
533,1.99,"2005-08-02 03:30:24"
534,0.99,"2005-08-17 12:27:55"
535,0.99,"2005-08-18 01:28:15"
536,4.99,"2005-08-19 08:48:37"
537,4.99,"2005-08-19 12:26:32"
538,2.99,"2005-08-19 19:25:42"
539,2.99,"2005-08-21 18:03:20"
540,6.99,"2005-08-22 10:19:58"
541,1.99,"2005-08-22 14:37:22"
542,0.99,"2005-08-22 17:53:06"
543,2.99,"2005-08-23 01:10:42"
544,3.99,"2005-05-26 15:42:20"
545,3.99,"2005-05-27 20:11:47"
546,0.99,"2005-05-28 10:15:04"
547,7.99,"2005-06-18 04:08:50"
548,4.99,"2005-06-18 06:13:41"
549,2.99,"2005-06-18 15:37:55"
550,4.99,"2005-06-19 21:14:33"
551,10.99,"2005-06-21 01:04:35"
552,4.99,"2005-07-09 06:42:32"
553,3.99,"2005-07-10 13:27:40"
554,2.99,"2005-07-10 23:43:23"
555,1.99,"2005-07-26 23:28:13"
556,0.99,"2005-07-28 14:56:54"
557,6.99,"2005-07-28 22:56:11"
558,2.99,"2005-07-29 23:49:23"
559,0.99,"2005-07-30 10:45:12"
560,5.99,"2005-07-31 07:29:25"
561,4.99,"2005-08-01 13:23:06"
562,0.99,"2005-08-01 19:28:47"
563,0.99,"2005-08-02 07:10:57"
564,0.99,"2005-08-17 17:53:09"
565,2.99,"2005-08-17 23:34:16"
566,4.99,"2005-08-18 19:07:23"
567,6.99,"2005-08-18 23:34:22"
568,2.99,"2005-08-19 21:37:57"
569,4.99,"2005-08-19 22:09:28"
570,4.99,"2005-08-19 22:43:38"
571,8.99,"2005-08-20 00:50:54"
572,9.99,"2005-08-20 09:26:14"
573,4.99,"2005-08-20 10:48:43"
574,8.99,"2005-08-20 23:24:07"
575,2.99,"2005-08-21 02:51:59"
576,2.99,"2005-08-21 12:10:41"
577,4.99,"2005-08-22 03:20:26"
578,2.99,"2006-02-14 15:16:03"
579,4.99,"2005-05-27 07:49:43"
580,4.99,"2005-05-28 08:31:36"
581,8.99,"2005-05-29 21:07:22"
582,2.99,"2005-06-21 17:18:01"
583,2.99,"2005-07-07 12:00:52"
584,6.99,"2005-07-09 15:23:42"
585,2.99,"2005-07-10 15:48:19"
586,4.99,"2005-07-27 04:42:08"
587,7.99,"2005-07-28 04:02:58"
588,0.99,"2005-07-30 20:38:05"
589,4.99,"2005-07-31 03:01:11"
590,5.99,"2005-08-17 19:54:54"
591,2.99,"2005-08-17 23:22:46"
592,0.99,"2005-08-19 00:42:24"
593,9.99,"2005-08-19 09:43:25"
594,2.99,"2005-08-20 22:18:53"
595,6.99,"2005-08-21 16:24:43"
596,7.99,"2005-08-22 13:18:25"
597,6.99,"2005-08-23 06:03:31"
598,4.99,"2005-08-23 08:48:43"
599,4.99,"2005-08-23 14:06:19"
600,4.99,"2006-02-14 15:16:03"
601,8.99,"2005-05-25 21:20:03"
602,2.99,"2005-05-28 20:15:30"
603,0.99,"2005-05-31 12:03:44"
604,1.99,"2005-06-19 16:44:35"
605,0.99,"2005-06-19 20:50:01"
606,5.99,"2005-06-20 10:48:56"
607,4.99,"2005-06-20 13:19:58"
608,2.99,"2005-06-21 21:49:18"
609,3.99,"2005-07-06 11:43:44"
610,2.99,"2005-07-06 13:53:41"
611,2.99,"2005-07-08 18:43:18"
612,2.99,"2005-07-11 12:43:07"
613,2.99,"2005-07-11 14:20:18"
614,5.99,"2005-07-12 22:30:15"
615,7.99,"2005-07-27 07:18:46"
616,2.99,"2005-07-28 15:33:03"
617,0.99,"2005-07-29 17:41:14"
618,5.99,"2005-07-30 12:55:36"
619,9.99,"2005-07-30 14:26:46"
620,3.99,"2005-07-31 08:25:03"
621,6.99,"2005-07-31 21:50:24"
622,2.99,"2005-08-02 01:29:57"
623,2.99,"2005-08-16 23:04:53"
624,2.99,"2005-08-19 18:31:50"
625,4.99,"2005-08-19 20:00:25"
626,6.99,"2005-08-19 23:25:37"
627,0.99,"2005-08-20 02:21:40"
628,0.99,"2005-08-20 04:12:41"
629,2.99,"2005-08-21 13:42:45"
630,2.99,"2006-02-14 15:16:03"
631,6.99,"2005-05-31 01:02:28"
632,2.99,"2005-05-31 10:22:54"
633,2.99,"2005-06-16 14:39:31"
634,2.99,"2005-06-17 16:27:51"
635,4.99,"2005-06-17 20:16:12"
636,5.99,"2005-06-18 19:28:02"
637,7.99,"2005-06-20 07:33:09"
638,7.99,"2005-07-06 07:32:42"
639,2.99,"2005-07-07 20:29:08"
640,0.99,"2005-07-09 16:00:34"
641,0.99,"2005-07-10 07:09:21"
642,4.99,"2005-07-12 19:46:29"
643,1.99,"2005-07-27 11:22:17"
644,4.99,"2005-07-30 03:15:37"
645,0.99,"2005-07-31 08:31:18"
646,0.99,"2005-07-31 15:08:47"
647,2.99,"2005-08-01 10:38:27"
648,2.99,"2005-08-02 12:09:45"
649,2.99,"2005-08-17 00:57:36"
650,8.99,"2005-08-18 00:53:37"
651,2.99,"2005-08-18 22:22:45"
652,1.99,"2005-08-19 07:34:53"
653,4.99,"2005-08-19 09:40:53"
654,0.99,"2005-08-19 16:45:59"
655,4.99,"2005-08-22 21:28:59"
656,7.99,"2005-05-25 14:31:25"
657,2.99,"2005-05-31 04:50:07"
658,4.99,"2005-06-15 12:17:34"
659,2.99,"2005-06-15 14:09:55"
660,6.99,"2005-06-16 17:13:23"
661,8.99,"2005-06-19 08:23:11"
662,4.99,"2005-06-20 02:41:28"
663,4.99,"2005-06-21 20:53:31"
664,2.99,"2005-07-07 15:26:31"
665,0.99,"2005-07-07 17:50:27"
